CUST_ID,TENURE,BALANCE_RANGE,PURCHASES_RANGE,ONEOFF_PURCHASES_RANGE,INSTALLMENTS_PURCHASES_RANGE,CASH_ADVANCE_RANGE,CREDIT_LIMIT_RANGE,PAYMENTS_RANGE,MINIMUM_PAYMENTS_RANGE,BALANCE_FREQUENCY_RANGE,PURCHASES_FREQUENCY_RANGE,ONEOFF_PURCHASES_FREQUENCY_RANGE,PURCHASES_INSTALLMENTS_FREQUENCY_RANGE,CASH_ADVANCE_FREQUENCY_RANGE,PRC_FULL_PAYMENT_RANGE,PURCHASES_TRX_RANGE,CASH_ADVANCE_TRX_RANGE,SCORE_RANGE
C10120,12,2,3,2,1,0,3,2,1,10,10,6,10,0,0,5,0,4
C10121,12,1,3,0,3,0,5,3,1,7,6,0,5,0,4,3,0,8
C10122,12,3,0,0,0,2,3,2,3,10,0,0,0,3,0,0,2,6
C10123,12,1,1,0,1,0,5,3,1,3,2,0,2,0,10,1,0,5
C10124,12,3,0,0,0,2,3,2,2,10,0,0,0,4,0,0,1,8
C10125,12,5,5,4,3,3,6,3,3,10,10,10,10,5,0,7,2,6
C10126,12,3,3,3,0,0,5,0,0,10,3,3,0,0,0,2,0,4
C10127,12,3,5,0,5,0,5,4,2,10,10,0,10,0,0,7,0,5
C10128,12,3,0,0,0,2,4,3,3,10,0,0,0,2,0,0,1,7
C10130,12,6,0,0,0,4,6,4,4,10,0,0,0,4,0,0,2,5
C10131,12,3,6,6,0,0,3,6,3,10,10,10,0,0,0,8,0,7
C10132,8,1,0,0,0,1,3,1,1,8,0,0,0,2,2,0,1,5
C10133,12,4,3,3,2,0,4,3,3,10,9,2,6,0,0,4,0,6
C10134,12,6,1,1,0,5,6,3,3,10,1,1,0,5,0,1,3,7
C10135,12,1,0,0,0,3,6,0,0,1,0,0,0,1,0,0,1,5
C10136,12,1,2,2,0,1,4,0,0,3,3,3,0,1,0,2,1,7
C10137,12,4,3,1,2,0,4,3,4,10,9,3,9,0,0,6,0,6
C10138,12,1,1,0,1,0,3,1,1,7,6,0,5,0,0,2,0,7
C10139,12,5,2,2,0,6,6,6,3,10,1,1,0,7,1,1,4,7
C10140,12,1,1,0,1,0,4,2,1,10,10,0,10,0,0,5,0,6
C10141,12,3,3,3,1,0,3,3,2,10,5,2,3,0,0,2,0,6
C10142,12,3,5,3,4,0,6,3,2,10,10,5,10,0,0,7,0,7
C10143,12,2,2,2,1,2,3,2,1,10,10,4,10,3,0,4,1,5
C10144,12,6,6,5,6,0,6,6,6,10,10,8,10,0,0,8,0,7
C10145,12,3,2,2,0,2,3,3,2,10,10,10,0,1,0,3,1,5
C10146,12,2,1,1,1,0,2,1,2,10,4,3,2,0,0,1,0,6
C10147,12,2,0,0,0,3,5,3,1,9,0,0,0,2,0,0,1,5
C10148,12,5,0,0,0,4,5,0,0,10,0,0,0,5,0,0,2,6
C10149,12,6,3,3,2,0,6,4,4,10,7,5,6,0,0,3,0,3
C10150,12,3,5,4,3,0,5,4,2,10,10,10,10,0,0,7,0,5
C10151,12,4,3,3,0,0,5,2,2,10,1,1,0,0,0,1,0,5
C10152,12,1,2,0,2,0,5,2,0,10,9,0,9,0,0,2,0,5
C10153,12,1,1,1,0,1,5,3,1,10,1,1,0,1,1,1,1,6
C10154,12,3,2,1,2,0,3,3,2,10,5,3,5,0,0,2,0,5
C10155,12,2,3,1,2,1,6,3,1,10,9,1,9,1,1,3,1,3
C10156,12,5,4,0,4,2,5,4,6,10,6,0,5,2,0,3,2,5
C10157,12,3,4,4,2,0,5,3,1,10,10,10,10,0,0,6,0,6
C10158,12,1,2,0,2,0,5,2,1,10,10,0,10,0,10,5,0,6
C10159,12,6,5,4,5,3,6,6,5,10,10,8,10,8,0,8,5,6
C10160,12,1,3,2,3,0,4,3,1,7,10,5,10,0,7,6,0,6
C10161,12,1,3,0,3,0,6,4,1,4,4,0,3,0,3,1,0,7
C10162,12,5,4,4,1,4,5,0,0,10,10,10,5,8,0,6,3,7
C10163,12,3,0,0,0,1,3,1,3,10,0,0,0,2,0,0,1,4
C10164,12,3,5,5,3,0,6,6,3,10,10,10,7,0,3,7,0,6
C10165,12,3,1,1,0,1,3,1,1,10,1,1,0,1,0,1,1,4
C10166,12,3,0,0,0,1,3,2,2,10,0,0,0,5,0,0,1,6
C10167,12,4,0,0,0,2,5,3,3,10,0,0,0,1,0,0,1,6
C10168,12,2,2,1,2,0,3,3,1,10,10,1,10,0,0,5,0,4
C10169,12,3,2,2,1,0,4,1,2,10,3,1,2,0,0,1,0,6
C10170,6,1,1,0,1,0,2,1,1,10,10,0,9,0,5,2,0,4
C10171,12,5,0,0,0,1,5,3,3,10,0,0,0,1,0,0,1,7
C10172,12,2,1,0,1,0,5,3,1,4,10,0,10,0,0,3,0,5
C10173,12,2,5,4,2,3,6,4,1,10,10,7,8,1,10,6,1,5
C10174,12,3,2,0,2,0,2,3,3,10,10,0,10,0,0,3,0,3
C10175,12,1,3,3,2,0,4,3,1,10,7,5,4,0,0,4,0,5
C10176,9,2,0,0,0,4,4,4,1,7,0,0,0,3,0,0,1,8
C10177,12,2,6,5,4,3,6,6,1,10,10,10,9,6,8,8,4,4
C10178,12,1,1,0,1,0,6,1,1,4,3,0,2,0,2,1,0,7
C10179,7,3,0,0,0,4,3,3,1,9,0,0,0,3,2,0,2,5
C10180,12,6,5,4,3,3,6,4,4,10,10,10,10,2,0,7,1,6
C10181,12,3,0,0,0,1,3,1,1,10,0,0,0,2,0,0,1,4
C10182,12,3,2,2,0,3,3,0,0,10,9,9,0,3,0,3,1,6
C10183,12,3,0,0,0,3,3,3,3,10,0,0,0,6,0,0,3,5
C10184,12,1,4,3,3,0,6,3,1,10,10,5,10,0,10,6,0,6
C10185,12,1,1,0,1,0,5,2,1,5,5,0,5,0,2,1,0,8
C10186,12,2,3,1,3,0,3,3,1,10,10,4,10,0,0,6,0,7
C10187,12,0,1,0,1,0,4,0,0,0,1,0,1,0,0,1,0,4
C10188,12,3,1,0,1,6,4,6,2,10,3,0,2,8,2,1,5,5
C10189,12,1,1,1,1,0,6,0,0,1,1,1,1,0,0,1,0,4
C10190,12,1,2,1,1,0,5,1,1,10,7,5,5,0,0,3,0,6
C10191,12,1,3,0,3,0,3,3,1,9,9,0,8,0,2,5,0,6
C10192,12,3,1,0,1,3,5,3,1,10,2,0,2,3,0,1,1,5
C10193,12,2,2,1,1,0,2,2,2,10,10,4,10,0,0,5,0,8
C10194,12,2,2,2,0,1,3,0,0,10,5,5,0,1,0,2,1,6
C10196,12,2,1,1,0,2,3,1,1,10,4,4,0,1,0,3,1,7
C10197,12,1,1,1,0,0,5,1,1,8,3,3,0,0,1,1,0,8
C10198,12,1,1,1,0,0,5,0,0,10,1,1,0,0,0,1,0,7
C10199,12,1,1,1,0,3,4,3,1,4,1,1,0,1,1,1,1,6
C10200,12,5,3,0,3,0,6,3,3,10,5,0,5,0,0,4,0,7
C10201,12,4,2,2,0,0,4,3,3,10,5,5,0,0,0,3,0,7
C10202,12,5,4,2,3,0,6,3,3,10,10,2,9,0,0,6,0,7
C10203,12,1,4,1,4,0,5,3,1,9,8,1,7,0,9,6,0,7
C10204,12,1,3,3,1,0,6,3,1,10,10,10,6,0,6,6,0,7
C10205,12,3,2,2,0,0,5,2,2,10,2,2,0,0,0,1,0,5
C10206,12,5,1,0,1,3,5,3,4,10,2,0,2,8,0,1,3,5
C10207,12,1,1,1,0,0,6,3,1,5,2,2,0,0,0,1,0,5
C10208,12,2,1,1,1,3,3,3,1,10,5,2,5,4,0,3,2,6
C10209,12,1,1,0,1,0,4,1,1,10,9,0,9,0,9,2,0,7
C10211,12,5,3,2,3,2,6,4,3,10,4,2,2,1,0,2,1,6
C10212,12,4,6,5,3,0,5,5,3,10,10,7,10,0,0,8,0,5
C10213,12,1,1,0,1,0,4,1,1,1,1,0,1,0,1,1,0,4
C10214,12,3,2,2,0,3,3,3,2,10,2,2,0,5,0,1,2,7
C10215,12,5,2,2,1,5,6,3,3,10,4,4,1,3,0,2,4,7
C10216,12,5,3,2,1,4,6,3,3,10,9,6,7,5,0,5,2,6
C10217,12,1,2,2,1,0,4,3,1,5,3,1,2,0,3,1,0,5
C10218,12,5,1,1,1,5,5,3,3,10,10,10,2,8,0,3,5,7
C10219,12,4,2,2,1,0,5,3,2,10,5,5,1,0,0,2,0,8
C10220,12,3,0,0,0,1,5,4,2,9,0,0,0,1,0,0,1,5
C10221,12,2,1,1,0,0,5,2,1,10,8,8,0,0,0,2,0,4
C10222,12,1,2,0,2,0,4,2,1,8,3,0,2,0,0,1,0,7
C10223,12,1,1,0,1,0,5,0,0,2,2,0,1,0,0,1,0,4
C10224,12,3,2,1,2,1,3,2,1,10,10,2,10,1,0,6,1,5
C10226,12,1,1,1,1,0,6,1,1,6,4,1,2,0,2,2,0,5
C10227,12,3,1,1,1,3,3,3,3,10,5,4,3,9,0,2,4,7
C10228,12,3,4,4,3,1,5,5,2,10,10,10,10,1,0,7,1,5
C10229,12,5,6,5,5,0,5,6,5,10,10,8,10,0,0,8,0,5
C10230,12,4,3,3,1,0,5,2,2,10,10,10,1,0,0,4,0,7
C10231,7,1,1,1,0,0,3,1,1,9,2,2,0,0,0,1,0,4
C10232,12,5,3,3,1,0,6,3,3,10,10,10,8,0,0,5,0,4
C10233,12,5,5,5,0,0,5,6,3,10,4,4,0,0,0,1,0,4
C10234,12,1,1,1,0,0,4,1,1,10,1,1,0,0,0,1,0,6
C10235,12,4,3,1,3,0,4,3,4,10,10,5,9,0,0,6,0,6
C10236,12,4,3,3,2,0,5,3,2,10,9,5,8,0,0,5,0,5
C10237,9,1,0,0,0,1,3,3,1,4,0,0,0,2,5,0,1,6
C10238,12,3,6,3,5,0,6,5,2,10,8,7,6,0,4,6,0,7
C10239,12,3,2,1,2,0,3,2,1,10,8,3,6,0,0,3,0,5
C10240,12,1,4,0,4,0,3,3,3,10,10,0,10,0,1,3,0,5
C10241,12,3,3,3,0,3,5,3,1,10,10,10,0,1,0,5,1,5
C10242,12,3,1,1,0,0,3,2,2,10,1,1,0,0,0,1,0,5
C10243,12,3,3,3,3,1,3,3,3,10,9,7,8,1,0,6,1,5
C10244,12,4,3,3,0,0,5,0,0,10,10,10,0,0,0,3,0,4
C10245,12,5,1,0,1,3,6,3,3,10,5,0,5,3,0,2,1,5
C10246,12,4,1,1,1,1,6,3,2,10,4,1,3,1,0,1,1,6
C10247,12,1,1,0,1,1,5,1,1,6,5,0,5,2,0,2,1,5
C10248,12,3,1,1,1,0,3,2,3,10,6,2,4,0,0,2,0,5
C10249,12,4,3,3,0,5,5,0,0,9,3,3,0,3,0,1,1,6
C10250,12,1,3,3,2,0,4,4,1,7,5,1,4,0,10,3,0,6
C10251,12,3,5,4,2,0,5,5,1,10,10,10,10,0,2,8,0,6
C10252,11,2,2,2,0,0,5,1,1,10,1,1,0,0,0,1,0,6
C10253,12,3,4,3,3,0,3,4,3,10,10,7,10,0,0,6,0,6
C10254,12,1,1,0,1,0,3,1,1,4,3,0,2,0,2,1,0,8
C10255,12,1,3,3,2,0,6,3,1,10,10,6,8,0,0,6,0,4
C10256,12,1,1,0,1,0,3,1,1,10,10,0,10,0,0,3,0,5
C10257,12,5,1,0,1,6,6,6,3,10,10,0,10,5,0,3,3,7
C10258,12,5,4,4,1,0,6,3,3,10,10,10,5,0,0,7,0,6
C10259,12,3,3,3,0,4,4,4,2,10,3,3,0,4,0,3,2,6
C10260,12,2,2,0,2,0,2,3,3,10,10,0,10,0,1,3,0,5
C10261,12,1,1,0,1,0,3,1,1,10,5,0,5,0,3,1,0,5
C10262,12,1,3,3,0,0,6,3,1,10,10,10,0,0,10,3,0,5
C10263,12,5,0,0,0,1,5,3,3,10,0,0,0,2,0,0,1,5
C10265,11,1,1,0,1,0,3,1,1,4,4,0,3,0,5,1,0,5
C10266,12,1,1,1,0,0,5,1,1,9,1,1,0,0,0,1,0,4
C10267,12,3,3,3,1,2,6,2,1,10,9,8,5,3,0,5,2,7
C10269,12,5,3,0,3,0,6,3,3,10,10,0,10,0,0,7,0,6
C10270,12,3,0,0,0,3,3,3,2,10,0,0,0,2,1,0,1,6
C10271,12,3,4,4,0,0,5,4,2,9,2,2,0,0,0,1,0,6
C10272,12,3,4,3,3,1,4,3,2,10,10,9,10,1,0,7,1,5
C10273,12,3,5,4,3,1,3,4,3,10,10,9,8,1,1,7,1,5
C10274,6,5,5,4,4,5,5,4,5,10,10,5,9,5,0,7,3,6
C10275,12,2,1,1,1,0,5,3,1,8,5,1,5,0,0,2,0,4
C10276,12,5,4,1,4,0,5,5,5,10,10,1,10,0,0,3,0,6
C10277,12,3,3,2,3,0,5,3,1,10,10,5,10,0,0,6,0,4
C10278,12,3,2,2,0,0,5,2,2,10,10,10,0,0,0,3,0,7
C10279,12,1,2,2,0,0,5,2,1,10,2,2,0,0,1,1,0,4
C10280,12,3,5,5,1,3,6,6,2,10,10,8,3,1,1,6,1,6
C10281,12,2,4,4,3,1,5,4,1,10,10,10,10,1,10,7,1,7
C10282,12,4,1,1,0,3,5,2,2,10,2,2,0,5,0,1,1,6
C10283,12,1,3,3,1,0,6,3,1,10,10,5,8,0,9,5,0,7
C10284,12,5,6,6,5,0,6,6,3,10,10,10,10,0,1,7,0,6
C10285,12,5,1,1,1,6,6,6,3,10,10,1,10,4,1,5,3,5
C10286,12,1,1,1,0,0,3,1,1,2,1,1,0,0,0,1,0,4
C10287,12,3,1,1,0,1,3,1,2,10,3,3,0,1,0,1,1,6
C10288,12,1,1,1,0,0,5,0,0,3,1,1,0,0,0,1,0,6
C10289,12,3,1,0,1,0,6,5,2,10,8,0,7,0,5,2,0,5
C10290,12,3,3,2,3,3,5,2,1,10,10,2,10,1,0,3,1,7
C10291,12,5,4,4,1,0,6,4,3,10,5,5,4,0,0,3,0,6
C10292,12,3,1,0,1,1,2,2,3,10,10,0,10,1,0,3,1,7
C10293,12,2,1,1,1,0,5,2,1,10,6,1,5,0,0,2,0,6
C10294,12,3,3,2,3,0,3,3,3,10,10,3,10,0,0,7,0,6
C10295,12,1,0,0,0,2,3,3,1,9,0,0,0,1,2,0,1,5
C10296,12,4,0,0,0,5,5,5,3,10,0,0,0,7,1,0,4,4
C10297,12,3,0,0,0,2,3,2,2,10,0,0,0,1,0,0,1,5
C10298,12,3,1,1,1,3,4,2,3,10,6,6,1,3,0,3,1,5
C10299,12,1,2,2,0,0,5,3,1,7,5,5,0,0,5,4,0,4
C10300,12,5,0,0,0,2,5,3,3,10,0,0,0,2,0,0,1,8
C10301,12,1,3,2,3,0,5,3,1,10,10,10,7,0,10,6,0,6
C10302,12,5,1,1,1,3,5,3,3,10,5,3,2,2,0,2,2,7
C10303,12,4,3,3,0,0,4,2,2,10,2,2,0,0,0,1,0,7
C10304,12,4,0,0,0,1,4,3,3,10,0,0,0,6,0,0,2,5
C10305,12,1,1,0,1,0,5,1,1,10,10,0,10,0,4,3,0,6
C10306,12,2,5,3,4,0,3,5,1,9,8,3,8,0,10,6,0,8
C10307,12,3,1,1,0,3,5,3,1,10,2,2,0,3,0,1,1,5
C10308,12,5,0,0,0,4,6,3,3,10,0,0,0,1,0,0,1,3
C10309,12,3,2,2,0,0,3,3,2,10,10,10,0,0,0,3,0,6
C10310,12,1,3,3,0,1,1,3,1,10,7,7,0,1,7,3,1,5
C10311,12,4,2,2,0,3,4,3,3,10,3,3,0,2,0,3,2,6
C10312,12,3,3,3,3,0,6,5,3,10,10,3,10,0,1,5,0,9
C10313,12,4,0,0,0,3,5,5,2,10,0,0,0,1,0,0,1,5
C10314,12,1,3,3,1,0,3,1,1,8,6,5,3,0,0,3,0,7
C10315,12,5,0,0,0,5,6,3,3,10,0,0,0,5,0,0,2,5
C10316,12,1,3,1,3,0,4,3,1,10,10,2,10,0,10,6,0,7
C10317,12,1,3,1,3,0,5,3,1,10,10,6,7,0,7,5,0,6
C10318,12,1,3,2,2,0,4,3,1,10,10,1,10,0,9,4,0,5
C10319,11,3,0,0,0,3,4,1,2,10,0,0,0,2,0,0,1,5
C10320,12,2,1,1,1,0,3,0,0,10,7,2,6,0,0,3,0,6
C10321,12,1,1,1,1,0,6,2,1,10,10,10,1,0,10,3,0,6
C10322,12,3,3,3,2,3,3,3,2,10,10,10,10,3,0,6,2,6
C10323,12,2,5,3,3,0,5,0,0,10,10,10,10,0,0,7,0,6
C10324,12,2,0,0,0,1,2,2,1,10,0,0,0,4,0,0,1,5
C10325,12,3,0,0,0,4,5,3,2,10,0,0,0,2,0,0,1,5
C10326,11,1,0,0,0,2,2,1,1,10,0,0,0,4,0,0,2,6
C10327,7,4,0,0,0,5,5,2,3,9,0,0,0,2,0,0,1,6
C10328,12,2,1,1,0,0,3,1,1,10,9,9,0,0,0,2,0,8
C10329,12,1,1,0,1,0,3,1,1,10,10,0,10,0,2,3,0,4
C10330,12,1,2,1,2,0,5,3,0,1,9,1,8,0,0,4,0,5
C10331,12,4,1,0,1,3,5,3,3,10,1,0,1,5,0,1,3,5
C10332,12,5,2,1,2,4,6,3,3,10,8,1,7,4,0,4,2,6
C10333,12,5,0,0,0,3,5,3,3,10,0,0,0,4,0,0,2,6
C10334,12,3,1,1,0,0,5,3,2,10,2,2,0,0,0,1,0,5
C10335,12,3,0,0,0,4,4,1,1,10,0,0,0,7,0,0,2,6
C10336,12,1,2,0,2,0,3,1,1,10,10,0,10,0,4,5,0,5
C10337,12,4,3,1,3,0,6,6,3,8,7,1,7,0,1,5,0,5
C10338,12,3,2,2,0,2,3,3,3,10,10,10,0,3,0,3,1,6
C10339,12,2,1,1,0,3,2,3,1,10,1,1,0,4,0,1,2,5
C10340,12,1,4,4,1,0,5,3,1,10,10,10,1,0,10,5,0,4
C10341,12,3,0,0,0,1,3,2,3,10,0,0,0,2,0,0,1,6
C10342,12,1,3,3,0,0,5,3,1,10,8,8,0,0,10,3,0,5
C10343,12,2,3,3,1,0,5,4,1,10,10,5,10,0,1,6,0,6
