CUST_ID,age,workclass,education,educational-num,marital-status,occupation,gender,hours-per-week,native-country,income,city
C10021,34,Private,Bachelors,13,Married-civ-spouse,Tech-support,Male,47,India,318000,Raipur
C10022,34,Private,Some-college,10,Never-married,Other-service,Female,35,India,132000,Ranchi
C10023,72,Private,7th-8th,4,Divorced,Prof-specialty,Female,6,India,140000,Ahmedabad
C10024,25,Private,Bachelors,13,Never-married,Prof-specialty,Male,43,Peru,197000,Ahmedabad
C10025,25,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,40,India,328000,Raipur
C10026,45,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Male,90,India,284000,Ahmedabad
C10027,22,Private,HS-grad,9,Never-married,Adm-clerical,Male,20,India,202000,Bengaluru
C10028,23,Private,HS-grad,9,Separated,Machine-op-inspct,Male,54,India,239000,Lucknow
C10029,54,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,35,India,495000,Delhi
C10030,32,Self-emp-not-inc,Some-college,10,Never-married,Prof-specialty,Male,60,India,142000,Pune
C10031,46,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Male,38,India,161000,Ranchi
C10032,56,Self-emp-not-inc,11th,7,Widowed,Other-service,Female,50,India,435000,Ranchi
C10033,24,Self-emp-not-inc,Bachelors,13,Never-married,Sales,Male,50,India,218000,Ahmedabad
C10034,23,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Male,40,India,369000,Ahmedabad
C10035,26,Private,HS-grad,9,Divorced,Exec-managerial,Female,40,India,435000,Raipur
C10036,65,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Male,40,India,357000,Pune
C10037,36,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,40,India,310000,Patna
C10038,22,Private,5th-6th,3,Never-married,Priv-house-serv,Male,50,Guatemala,127000,Pune
C10039,17,Private,10th,6,Never-married,Machine-op-inspct,Male,40,India,157000,Raipur
C10040,20,Private,HS-grad,9,Never-married,Craft-repair,Male,40,India,165000,Ranchi
C10041,65,Private,Masters,14,Married-civ-spouse,Prof-specialty,Male,50,India,177000,Patna
C10043,44,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Male,45,India,388000,Lucknow
C10044,36,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Male,40,India,485000,Ranchi
C10045,29,Private,11th,7,Married-civ-spouse,Other-service,Male,40,India,484000,Lucknow
C10046,20,State-gov,Some-college,10,Never-married,Farming-fishing,Male,32,India,77000,Lucknow
C10047,28,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Female,36,India,175000,Ranchi
C10048,39,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Male,40,Mexico,384000,Mumbai
C10049,54,Private,Some-college,10,Married-civ-spouse,Transport-moving,Male,50,India,374000,Lucknow
C10050,52,Private,11th,7,Separated,Priv-house-serv,Female,18,India,298000,Lucknow
C10051,56,Self-emp-inc,HS-grad,9,Widowed,Exec-managerial,Female,50,India,326000,Raipur
C10052,18,Private,Some-college,10,Never-married,Other-service,Male,20,India,473000,Vizag
C10053,39,Private,HS-grad,9,Divorced,Handlers-cleaners,Male,40,India,101000,Pune
C10054,21,Private,Some-college,10,Never-married,Other-service,Female,24,India,445000,Mumbai
C10055,22,Private,HS-grad,9,Never-married,Other-service,Male,60,India,422000,Ranchi
C10056,38,Private,9th,5,Married-spouse-absent,Exec-managerial,Male,54,Mexico,259000,Raipur
C10057,21,Private,Some-college,10,Never-married,Adm-clerical,Female,40,India,275000,Pune
C10058,63,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,40,India,116000,Delhi
C10059,34,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,50,India,444000,Delhi
C10060,42,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Male,50,India,264000,Bengaluru
C10061,33,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Male,40,India,156000,Ahmedabad
C10062,30,Private,Bachelors,13,Never-married,Exec-managerial,Female,50,India,122000,Patna
C10063,39,Private,Some-college,10,Divorced,Sales,Male,40,India,438000,Kolkata
C10064,26,Private,Masters,14,Never-married,Exec-managerial,Female,40,India,456000,Bengaluru
C10065,33,Private,HS-grad,9,Never-married,Machine-op-inspct,Female,40,India,136000,Ranchi
C10067,47,Local-gov,HS-grad,9,Divorced,Adm-clerical,Female,40,India,258000,Vizag
C10068,41,Private,Bachelors,13,Never-married,Other-service,Female,40,India,210000,Vizag
C10069,41,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Male,60,India,483000,Ranchi
C10070,19,Private,Some-college,10,Never-married,Other-service,Male,20,India,167000,Ranchi
C10071,46,Private,HS-grad,9,Separated,Transport-moving,Male,40,India,112000,Ahmedabad
C10072,43,Private,HS-grad,9,Married-civ-spouse,Sales,Male,48,India,346000,Pune
C10073,55,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Male,45,India,442000,Patna
C10074,46,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Male,40,India,350000,Kolkata
C10075,30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Male,40,Mexico,300000,Mumbai
C10077,21,Private,Some-college,10,Separated,Handlers-cleaners,Female,40,India,458000,Pune
C10078,46,Private,Some-college,10,Married-civ-spouse,Craft-repair,Male,40,Dominican-Republic,90000,Lucknow
C10079,17,Private,10th,6,Never-married,Prof-specialty,Male,40,India,448000,Lucknow
C10080,41,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Male,50,India,369000,Vizag
C10081,69,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Male,30,India,453000,Ranchi
C10082,50,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Male,40,India,97000,Vizag
C10083,20,Private,Some-college,10,Never-married,Adm-clerical,Female,40,India,243000,Bengaluru
C10084,45,Self-emp-inc,Some-college,10,Married-civ-spouse,Machine-op-inspct,Male,50,India,399000,Kolkata
C10085,23,Private,Bachelors,13,Never-married,Exec-managerial,Male,40,India,246000,Ahmedabad
C10086,24,Private,Some-college,10,Separated,Other-service,Male,40,India,131000,Pune
C10087,44,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Male,50,India,396000,Vizag
C10088,31,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Male,50,India,207000,Ranchi
C10089,43,Private,HS-grad,9,Separated,Machine-op-inspct,Female,44,India,75000,Ranchi
C10090,20,Federal-gov,11th,7,Never-married,Other-service,Female,10,India,102000,Pune
C10092,55,Private,HS-grad,9,Married-civ-spouse,Sales,Male,56,India,420000,Kolkata
C10093,24,Federal-gov,Some-college,10,Never-married,Armed-Forces,Male,40,India,364000,Bengaluru
C10094,41,Private,Masters,14,Married-civ-spouse,Prof-specialty,Female,10,India,382000,Bengaluru
C10095,59,Private,Bachelors,13,Never-married,Exec-managerial,Female,25,India,286000,Patna
C10096,49,Federal-gov,7th-8th,4,Never-married,Other-service,Male,20,India,80000,Ahmedabad
C10097,33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Female,10,India,413000,Kolkata
C10098,59,Federal-gov,Bachelors,13,Divorced,Adm-clerical,Male,40,India,110000,Patna
C10099,34,Private,Masters,14,Never-married,Other-service,Male,40,India,127000,Mumbai
C10100,20,Private,HS-grad,9,Never-married,Handlers-cleaners,Male,40,India,428000,Patna
C10101,25,Private,Bachelors,13,Never-married,Exec-managerial,Female,40,India,74000,Lucknow
C10102,49,Private,10th,6,Married-civ-spouse,Farming-fishing,Male,40,India,150000,Ranchi
C10103,59,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Male,40,India,243000,Bengaluru
C10104,20,Private,HS-grad,9,Never-married,Adm-clerical,Female,40,India,204000,Ahmedabad
C10105,51,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Female,18,India,260000,Mumbai
C10106,33,Private,Some-college,10,Never-married,Adm-clerical,Female,35,India,130000,Mumbai
C10107,22,Private,Some-college,10,Never-married,Transport-moving,Male,39,India,116000,Raipur
C10108,58,Self-emp-not-inc,9th,5,Widowed,Other-service,Female,40,India,99000,Ahmedabad
C10109,52,Local-gov,HS-grad,9,Widowed,Adm-clerical,Female,28,India,326000,Bengaluru
C10110,36,Private,10th,6,Separated,Machine-op-inspct,Female,40,India,61000,Pune
C10111,41,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Male,40,India,93000,Delhi
C10112,28,Private,HS-grad,9,Never-married,Transport-moving,Male,40,India,468000,Raipur
C10113,19,Private,Some-college,10,Never-married,Handlers-cleaners,Male,16,India,476000,Ahmedabad
C10114,18,Private,HS-grad,9,Never-married,Other-service,Female,28,India,425000,Raipur
C10115,18,Private,HS-grad,9,Never-married,Machine-op-inspct,Female,48,India,87000,Delhi
C10116,28,Private,Some-college,10,Married-civ-spouse,Craft-repair,Male,40,India,247000,Kolkata
C10117,29,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Male,40,India,86000,Ranchi
C10118,20,Private,HS-grad,9,Never-married,Prof-specialty,Female,20,India,469000,Bengaluru
C10119,40,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Male,40,India,328000,Kolkata
C10120,26,Private,HS-grad,9,Never-married,Handlers-cleaners,Male,40,India,124000,Ranchi
C10121,46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,40,India,119000,Patna
C10122,23,Private,11th,7,Never-married,Other-service,Female,24,India,419000,Kolkata
C10123,44,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Female,40,India,274000,Kolkata
C10124,43,Private,Bachelors,13,Divorced,Sales,Female,40,India,112000,Bengaluru
C10125,31,Local-gov,Bachelors,13,Divorced,Prof-specialty,Female,60,India,292000,Lucknow
C10126,18,Private,Some-college,10,Never-married,Sales,Female,25,India,231000,Mumbai
C10127,19,Private,Some-college,10,Never-married,Protective-serv,Male,30,India,151000,Lucknow
C10128,41,Private,Some-college,10,Divorced,Tech-support,Female,40,India,152000,Bengaluru
C10130,41,Private,HS-grad,9,Divorced,Handlers-cleaners,Female,40,India,346000,Bengaluru
C10131,69,Private,HS-grad,9,Divorced,Adm-clerical,Female,25,India,76000,Kolkata
C10132,48,Federal-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Female,40,India,362000,Delhi
C10133,28,Private,HS-grad,9,Never-married,Prof-specialty,Male,40,India,198000,Patna
C10134,27,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Male,60,Ireland,288000,Vizag
C10135,41,Private,Masters,14,Married-civ-spouse,Prof-specialty,Male,50,India,86000,Vizag
C10136,41,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Male,40,India,177000,Pune
C10137,24,Private,HS-grad,9,Never-married,Craft-repair,Female,40,India,236000,Kolkata
C10138,20,Private,HS-grad,9,Never-married,Prof-specialty,Female,40,India,131000,Lucknow
C10139,42,Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Male,41,India,273000,Delhi
C10140,57,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,48,India,102000,Raipur
C10141,30,Private,Assoc-acdm,12,Never-married,Prof-specialty,Female,40,India,140000,Bengaluru
C10142,36,Private,HS-grad,9,Married-civ-spouse,Sales,Male,60,India,134000,Bengaluru
C10143,49,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Male,40,India,489000,Pune
C10144,33,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Female,35,India,266000,Delhi
C10145,23,Private,10th,6,Married-civ-spouse,Farming-fishing,Male,40,India,167000,Mumbai
C10146,46,Private,Masters,14,Married-civ-spouse,Prof-specialty,Male,40,India,274000,Mumbai
C10147,18,Private,Some-college,10,Never-married,Adm-clerical,Female,22,Germany,276000,Mumbai
C10148,40,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Male,55,India,399000,Patna
C10149,43,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Male,45,India,265000,Mumbai
C10150,34,Private,Masters,14,Never-married,Prof-specialty,Female,30,India,458000,Ahmedabad
C10151,47,Self-emp-not-inc,HS-grad,9,Widowed,Exec-managerial,Female,30,India,238000,Raipur
C10152,44,Private,Assoc-voc,11,Widowed,Exec-managerial,Female,30,India,426000,Kolkata
C10153,33,Private,HS-grad,9,Married-civ-spouse,Sales,Male,40,India,313000,Kolkata
C10154,55,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,50,India,122000,Kolkata
C10155,19,Private,HS-grad,9,Never-married,Sales,Male,30,India,290000,Lucknow
C10156,28,Private,Some-college,10,Never-married,Other-service,Male,14,India,359000,Raipur
C10157,27,Private,11th,7,Married-civ-spouse,Other-service,Female,32,India,307000,Ahmedabad
C10158,50,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Male,20,India,310000,Patna
C10159,22,Private,11th,7,Never-married,Craft-repair,Male,40,India,228000,Ranchi
C10160,40,State-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Male,45,India,91000,Kolkata
C10161,25,Private,Some-college,10,Never-married,Adm-clerical,Female,40,India,217000,Raipur
C10162,26,Local-gov,HS-grad,9,Never-married,Craft-repair,Male,40,India,275000,Pune
C10163,22,Private,Bachelors,13,Never-married,Sales,Male,25,India,479000,Lucknow
C10164,42,Private,Some-college,10,Never-married,Handlers-cleaners,Female,40,India,407000,Lucknow
C10165,38,Self-emp-inc,Bachelors,13,Divorced,Exec-managerial,Male,40,India,229000,Bengaluru
C10166,55,Private,11th,7,Married-civ-spouse,Other-service,Male,30,India,146000,Lucknow
C10167,32,Private,HS-grad,9,Married-civ-spouse,Sales,Male,40,India,193000,Delhi
C10168,22,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,45,India,252000,Delhi
C10169,29,Private,Bachelors,13,Never-married,Sales,Male,40,India,105000,Lucknow
C10170,46,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Male,45,India,176000,Delhi
C10171,31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Male,40,India,409000,Mumbai
C10172,58,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Male,16,India,319000,Vizag
C10173,42,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Male,45,India,175000,Vizag
C10174,18,Private,HS-grad,9,Never-married,Handlers-cleaners,Male,25,India,303000,Delhi
C10175,58,Local-gov,HS-grad,9,Divorced,Exec-managerial,Male,33,India,73000,Patna
C10176,54,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Male,40,India,247000,Kolkata
C10177,34,Private,Masters,14,Never-married,Prof-specialty,Male,40,India,369000,Pune
C10178,26,Private,Bachelors,13,Never-married,Adm-clerical,Female,40,India,147000,Pune
C10179,61,Private,12th,8,Married-civ-spouse,Exec-managerial,Male,60,India,220000,Raipur
C10180,48,Local-gov,Masters,14,Separated,Adm-clerical,Female,40,India,341000,Pune
C10181,36,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Male,45,India,273000,Vizag
C10182,24,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Male,45,India,470000,Raipur
C10183,40,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Male,37,India,285000,Ranchi
C10184,33,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Male,50,India,238000,Vizag
C10185,37,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Male,40,India,424000,Ahmedabad
C10186,34,Private,Masters,14,Never-married,Exec-managerial,Male,40,India,373000,Bengaluru
C10187,56,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Male,40,India,411000,Vizag
C10188,28,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Female,38,India,492000,Lucknow
C10189,37,Private,Bachelors,13,Widowed,Exec-managerial,Female,55,India,216000,Delhi
C10190,44,Private,HS-grad,9,Divorced,Sales,Female,40,India,73000,Kolkata
C10191,64,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Male,8,India,250000,Vizag
C10192,54,Private,HS-grad,9,Divorced,Handlers-cleaners,Male,45,India,257000,Bengaluru
C10193,23,Private,HS-grad,9,Never-married,Machine-op-inspct,Male,50,India,107000,Kolkata
C10194,34,State-gov,Bachelors,13,Married-spouse-absent,Farming-fishing,Male,40,India,273000,Raipur
C10196,22,Private,HS-grad,9,Never-married,Other-service,Female,45,India,286000,Raipur
C10197,33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,40,India,386000,Ahmedabad
C10198,39,Private,Bachelors,13,Separated,Prof-specialty,Male,50,India,363000,Patna
C10199,47,Private,Some-college,10,Divorced,Adm-clerical,Female,37,India,263000,Vizag
C10200,79,Private,7th-8th,4,Widowed,Prof-specialty,Male,40,India,354000,Raipur
C10201,26,Private,HS-grad,9,Never-married,Prof-specialty,Female,55,India,374000,Raipur
C10202,31,Private,Some-college,10,Divorced,Exec-managerial,Female,40,India,332000,Ahmedabad
C10203,44,Private,Some-college,10,Never-married,Transport-moving,Male,45,India,188000,Ahmedabad
C10204,42,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Female,50,India,443000,Ranchi
C10205,19,Private,HS-grad,9,Never-married,Machine-op-inspct,Female,40,India,366000,Delhi
C10206,27,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Male,40,India,247000,Kolkata
C10207,51,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Male,40,India,190000,Ahmedabad
C10208,28,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Male,50,India,471000,Kolkata
C10209,57,Private,Bachelors,13,Divorced,Craft-repair,Male,45,India,244000,Vizag
C10211,45,Local-gov,Bachelors,13,Divorced,Prof-specialty,Female,40,India,465000,Raipur
C10212,50,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Male,40,India,459000,Lucknow
C10213,34,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Male,54,India,251000,Ranchi
C10214,45,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Male,40,India,274000,Ranchi
C10215,73,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Male,20,India,215000,Delhi
C10216,34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Female,50,India,129000,Mumbai
C10217,31,Private,Some-college,10,Married-civ-spouse,Sales,Male,55,India,139000,Bengaluru
C10218,19,Private,11th,7,Never-married,Sales,Male,12,India,94000,Vizag
C10219,25,Private,Some-college,10,Never-married,Other-service,Female,50,India,274000,Patna
C10220,38,Federal-gov,Assoc-voc,11,Divorced,Craft-repair,Female,40,India,230000,Kolkata
C10221,39,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Male,40,India,235000,Vizag
C10222,23,Private,Bachelors,13,Never-married,Tech-support,Female,32,India,470000,Pune
C10223,49,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Male,40,India,445000,Mumbai
C10224,33,Federal-gov,HS-grad,9,Never-married,Other-service,Male,32,India,154000,Kolkata
C10226,21,Private,5th-6th,3,Never-married,Machine-op-inspct,Male,38,Mexico,360000,Lucknow
C10227,31,Private,Assoc-voc,11,Separated,Craft-repair,Male,40,India,433000,Patna
C10228,23,Private,Bachelors,13,Never-married,Exec-managerial,Female,45,India,463000,Raipur
C10229,34,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Male,40,Philippines,439000,Ahmedabad
C10230,25,Private,HS-grad,9,Never-married,Machine-op-inspct,Female,40,Philippines,130000,Kolkata
C10231,39,Private,HS-grad,9,Never-married,Craft-repair,Male,40,India,137000,Pune
C10232,52,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Male,40,India,483000,Bengaluru
C10233,63,Local-gov,9th,5,Married-civ-spouse,Transport-moving,Male,40,India,283000,Pune
C10234,41,Private,Some-college,10,Married-civ-spouse,Craft-repair,Male,40,India,66000,Ahmedabad
C10235,46,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,38,India,308000,Lucknow
C10236,53,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Male,40,India,245000,Bengaluru
C10237,25,Private,9th,5,Separated,Prof-specialty,Female,40,India,231000,Lucknow
C10238,77,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Male,35,India,346000,Patna
C10239,18,Private,12th,8,Never-married,Priv-house-serv,Male,40,India,411000,Lucknow
C10240,38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Male,50,India,61000,Ahmedabad
C10241,55,Private,Masters,14,Never-married,Exec-managerial,Female,50,Thailand,338000,Delhi
C10242,34,Private,HS-grad,9,Married-civ-spouse,Tech-support,Male,40,India,307000,Vizag
C10243,80,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Male,30,India,265000,Ahmedabad
C10244,34,Private,Assoc-voc,11,Divorced,Tech-support,Female,60,India,126000,Pune
C10245,52,Private,Some-college,10,Married-civ-spouse,Tech-support,Male,40,India,122000,Mumbai
C10246,42,Private,HS-grad,9,Never-married,Other-service,Female,28,Haiti,121000,Bengaluru
C10247,26,Private,Some-college,10,Never-married,Sales,Female,40,India,108000,Patna
C10248,31,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Male,40,India,104000,Raipur
C10249,25,Local-gov,HS-grad,9,Never-married,Other-service,Female,35,India,424000,Mumbai
C10250,55,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Male,60,India,495000,Bengaluru
C10251,19,Private,Some-college,10,Never-married,Other-service,Female,12,India,184000,Raipur
C10252,62,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Male,32,India,438000,Ranchi
C10253,22,Federal-gov,Some-college,10,Never-married,Adm-clerical,Female,20,India,127000,Pune
C10254,39,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Female,50,India,166000,Mumbai
C10255,35,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Male,40,India,293000,Pune
C10256,28,Private,HS-grad,9,Married-civ-spouse,Sales,Female,40,India,419000,Mumbai
C10257,47,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Male,70,India,270000,Ranchi
C10258,44,State-gov,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Male,40,India,200000,Pune
C10259,21,Private,Some-college,10,Never-married,Sales,Male,15,India,208000,Patna
C10260,35,Private,Assoc-voc,11,Never-married,Craft-repair,Male,50,India,467000,Patna
C10261,24,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Male,40,India,209000,Raipur
C10262,42,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Male,40,India,322000,Vizag
C10263,28,Private,Bachelors,13,Never-married,Tech-support,Male,50,India,344000,Ahmedabad
C10265,21,Private,Some-college,10,Never-married,Machine-op-inspct,Male,35,India,483000,Bengaluru
C10266,62,Federal-gov,Some-college,10,Divorced,Tech-support,Male,40,India,79000,Delhi
C10267,39,Private,HS-grad,9,Never-married,Other-service,Female,40,India,361000,Patna
C10269,30,State-gov,HS-grad,9,Never-married,Other-service,Male,40,India,82000,Vizag
C10270,72,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Male,20,India,306000,Mumbai
C10271,50,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Female,50,India,160000,Ahmedabad
C10272,28,Local-gov,Masters,14,Never-married,Prof-specialty,Male,40,India,213000,Patna
C10273,29,Private,Some-college,10,Never-married,Prof-specialty,Female,40,India,298000,Pune
C10274,26,Private,Bachelors,13,Never-married,Adm-clerical,Female,40,India,81000,Vizag
C10275,27,Private,Masters,14,Never-married,Exec-managerial,Female,40,India,171000,Ranchi
C10276,29,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Male,40,India,411000,Pune
C10277,61,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Male,40,India,418000,Ranchi
C10278,29,Private,10th,6,Married-civ-spouse,Craft-repair,Male,25,India,448000,Delhi
C10279,21,Private,Some-college,10,Never-married,Prof-specialty,Female,30,India,153000,Pune
C10280,31,Private,11th,7,Married-civ-spouse,Sales,Female,20,India,465000,Kolkata
C10281,25,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Male,75,India,325000,Patna
C10282,58,Private,10th,6,Married-civ-spouse,Transport-moving,Male,40,India,348000,Raipur
C10283,64,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Female,40,India,253000,Delhi
C10284,46,State-gov,Masters,14,Never-married,Exec-managerial,Male,38,India,281000,Kolkata
C10285,53,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Male,35,India,368000,Ahmedabad
C10286,19,Private,HS-grad,9,Never-married,Other-service,Female,35,India,178000,Vizag
C10287,42,Private,HS-grad,9,Divorced,Other-service,Male,52,India,478000,Ahmedabad
C10288,18,Private,11th,7,Never-married,Handlers-cleaners,Male,24,India,260000,Lucknow
C10289,58,Self-emp-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Male,50,India,286000,Patna
C10290,20,Private,Some-college,10,Never-married,Protective-serv,Male,60,India,316000,Raipur
C10291,35,Federal-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Male,40,India,167000,Lucknow
C10292,32,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Male,38,India,106000,Lucknow
C10293,23,Private,HS-grad,9,Never-married,Handlers-cleaners,Female,25,India,405000,Mumbai
C10294,31,Private,Some-college,10,Divorced,Tech-support,Female,40,India,339000,Mumbai
C10295,33,Private,Bachelors,13,Married-civ-spouse,Sales,Male,55,India,318000,Raipur
C10296,41,Private,Some-college,10,Never-married,Machine-op-inspct,Female,48,India,453000,Kolkata
C10297,22,Private,HS-grad,9,Never-married,Machine-op-inspct,Male,40,India,347000,Raipur
C10298,46,Private,Some-college,10,Married-civ-spouse,Protective-serv,Male,40,India,222000,Bengaluru
